model_size,params,data_size,train_loss,test_loss,gap
10,7960,100,1.643657280642136,5.107206184726643,3.4635489040845067
50,39760,100,0.00017418567113327372,12.988352745117375,12.988178559446242
100,79510,100,0.00011535855026364028,13.166447992784263,13.166332634234
200,159010,100,1.7883044489722445e-06,12.661049744870787,12.661047956566339
300,238510,100,2.0338206734924546e-08,11.393271388670586,11.393271368332378
10,7960,500,2.1158195674691886,2.582243298180678,0.46642373071148935
50,39760,500,3.965677531926287e-05,6.737642090229502,6.737602433454183
100,79510,500,1.9458230978229733e-05,5.946083291109542,5.946063832878563
200,159010,500,6.897336158715449e-06,5.818212806639929,5.81820590930377
300,238510,500,1.6069820086662405e-05,5.4985355557527615,5.4985194859326745
10,7960,1000,1.3735281425979082,2.8281536220869796,1.4546254794890714
50,39760,1000,0.03557167650413526,5.555325521014946,5.51975384451081
100,79510,1000,2.047674568582277e-05,4.815520578439366,4.81550010169368
200,159010,1000,8.961060950012708e-06,4.463329037518244,4.463320076457294
300,238510,1000,3.4135785816024547e-06,4.407933536525332,4.40793012294675
10,7960,5000,0.9891600852415979,1.7688581108599823,0.7796980256183844
50,39760,5000,2.9570963297755816e-05,2.7861910123045774,2.78616144134128
100,79510,5000,2.3677930724668458e-05,2.5040884733743005,2.504064795443576
200,159010,5000,0.08876868629433671,2.211533243533061,2.122764557238724
300,238510,5000,0.08000487023087172,2.1321821669056407,2.052177296674769
10,7960,10000,0.311160264324925,0.9628678761891831,0.6517076118642582
50,39760,10000,0.04799727610723857,1.7547630850767428,1.7067658089695044
100,79510,10000,0.047980580240611075,1.5360505330410201,1.488069952800409
200,159010,10000,0.03992151331942601,1.4916149504325216,1.4516934371130956
300,238510,10000,0.026109507640445777,1.4312969901542076,1.4051874825137618
