model_name,layers,params,data_size,train_loss,test_loss,gap,train_acc,test_acc
ResNet6,"[1, 1, 1, 1]",4903242,1000,0.11875153076648712,2.4278542457580565,2.3091027149915693,97.7,39.97
ResNet6,"[1, 1, 1, 1]",4903242,5000,0.33542732944488524,1.6614614255905151,1.3260340961456298,89.12,52.23
ResNet6,"[1, 1, 1, 1]",4903242,10000,0.13452508549690245,1.4515085544586181,1.3169834689617157,95.79,63.33
ResNet6,"[1, 1, 1, 1]",4903242,25000,0.07587499328613281,1.0575652746200561,0.9816902813339233,97.496,74.78
ResNet6,"[1, 1, 1, 1]",4903242,40000,0.06097335472106934,0.8910041988372803,0.830030844116211,98.0125,79.18
ResNet10,"[1, 1, 2, 2]",10804554,1000,0.8739499535560608,2.1782839122772217,1.3043339587211609,68.0,32.3
ResNet10,"[1, 1, 2, 2]",10804554,5000,0.5004205001831055,1.698215530014038,1.1977950298309326,82.34,50.2
ResNet10,"[1, 1, 2, 2]",10804554,10000,0.24908353881835937,1.4349650800704956,1.1858815412521362,91.4,63.41
ResNet10,"[1, 1, 2, 2]",10804554,25000,0.10030650945901871,1.1120892601013184,1.0117827506422996,96.548,74.26
ResNet10,"[1, 1, 2, 2]",10804554,40000,0.0791923418700695,0.8067986284255981,0.7276062865555286,97.2,80.24
ResNet18,"[2, 2, 2, 2]",11173962,1000,1.0200311756134033,1.838372201538086,0.8183410259246826,62.5,40.61
ResNet18,"[2, 2, 2, 2]",11173962,5000,0.8990490125656128,1.432289247894287,0.5332402353286743,67.42,51.05
ResNet18,"[2, 2, 2, 2]",11173962,10000,0.3429482755661011,1.4011597591400147,1.0582114835739136,88.12,62.5
ResNet18,"[2, 2, 2, 2]",11173962,25000,0.146394579205513,1.0591779649734496,0.9127833857679366,94.876,74.73
ResNet18,"[2, 2, 2, 2]",11173962,40000,0.11755780143141746,0.7629634554862976,0.6454056540548802,95.88,80.43
ResNet34,"[3, 4, 6, 3]",21282122,1000,1.2757931461334229,1.9813565670013429,0.70556342086792,52.7,37.8
ResNet34,"[3, 4, 6, 3]",21282122,5000,1.2902487528800963,1.5796241632461547,0.2893754103660584,53.68,45.31
ResNet34,"[3, 4, 6, 3]",21282122,10000,0.7516982048988342,1.1479292695999146,0.3962310647010804,73.35,62.2
ResNet34,"[3, 4, 6, 3]",21282122,25000,0.20798518056869505,0.9866465185165405,0.7786613379478454,92.436,74.49
ResNet34,"[3, 4, 6, 3]",21282122,40000,0.15598564653396607,0.7285994913101196,0.5726138447761535,94.5725,81.12
